adc0,adc1,adc2,adc3,sonar0,sonar1,sonar2,sonar3,speed,turn
0,0.4666666666666667,0,0.16666666666666663,0.615,0.6425000000000001,0.87,0.885,-0.183333,0
0.23333333333333328,0.43333333333333335,0,0.23333333333333328,0.6125,0.6625,0.8725,0.885,-0.0708332,0
0,0.5333333333333333,0,0.23333333333333328,0.61,0.7324999999999999,0.8725,0.885,-0.0583332,0
0,0.3666666666666667,0,0.30000000000000004,0.75,0.7175,0.8725,0.885,-0.0208332,0
0.2666666666666667,0.3666666666666667,0,0.23333333333333328,0.75,0.755,0.8725,0.885,0.0125,0
0.16666666666666663,0.4,0,0.2666666666666667,0.745,0.745,0.8725,0.885,0.0208334,0
0.09999999999999998,0.4666666666666667,0,0.23333333333333328,0.54,0.7,0.87,0.885,0.0541668,0
0.033333333333333326,0.5,0,0.2666666666666667,0.61,0.71,0.8725,0.885,0.0958334,0
0.1333333333333333,0.4666666666666667,0,0.23333333333333328,0.7075,0.6875,0.8725,0.885,0.183333,0
0,0.4,0,0.30000000000000004,0.5449999999999999,0.6475,0.8725,0.885,0.1375,0
0,0.5,0,0.2666666666666667,0.53,0.7150000000000001,0.8725,0.885,0.295833,0
0.4,0.43333333333333335,0,0.23333333333333328,0.6125,0.7050000000000001,0.8725,0.885,0.304167,0
0.2666666666666667,0.4666666666666667,0,0.16666666666666663,0.7675,0.7575000000000001,0.87,0.885,0.229167,0
0.43333333333333335,0,0,0.43333333333333335,0.7875,0.6775,0.875,0.8825000000000001,0.325,0
0.3666666666666667,0.16666666666666663,0,0,0.63,0.7525,0.875,0.8775,0.329167,0
0,0,0,0,0.775,0.7675,0.875,0.79,0.333333,0
0.23333333333333328,0,0,0,0.7875,0.6475,0.8775,0.7975,0.3375,0
0,0,0,0,0.655,0.6425000000000001,0.8775,0.8,0.341667,0
0.30000000000000004,0,0,0,0.79,0.5349999999999999,0.8775,0.8025,0.345833,0
0.33333333333333337,0,0,0,0.7925,0.6225,0.8775,0.8049999999999999,0.35,0
0,0,0,0,0.7925,0.735,0.88,0.815,0.375,0
0,0,0,0,0.8049999999999999,0.7925,0.88,0.8175,0.379167,0
0.33333333333333337,0,0,0,0.8075,0.625,0.88,0.8200000000000001,0.383333,0
0.23333333333333328,0,0,0,0.7625,0.6325000000000001,0.8825000000000001,0.835,0.3875,0
0,0,0,0,0.825,0.8175,0.885,0.845,0.3875,0
0.16666666666666663,0,0,0,0.825,0.6525000000000001,0.885,0.8475,0.395833,0
0,0,0,0,0.83,0.8225,0.8875,0.85,0.4,0
0.23333333333333328,0,0,0,0.745,0.825,0.8775,0.8575,0.404167,0
0,0,0,0,0.7575000000000001,0.8325,0.8425,0.86,0.408333,0
0,0.09999999999999998,0,0,0.815,0.6699999999999999,0.855,0.87,0.4125,0
0,0,0,0,0.6699999999999999,0.6799999999999999,0.855,0.865,0.416667,0
0,0.43333333333333335,0,0,0.785,0.8375,0.855,0.8674999999999999,0.420833,0
0,0.5666666666666667,0,0,0.795,0.835,0.8575,0.8674999999999999,0.425,0
0,0.6,0,0,0.7925,0.6799999999999999,0.8575,0.8674999999999999,0.429167,0
0,0.5666666666666667,0,0,0.81,0.735,0.8575,0.8674999999999999,0.4375,0
0,0.5333333333333333,0,0.16666666666666663,0.79,0.69,0.8525,0.87,0.454167,-0.0291668
0,0.2666666666666667,0,0,0.785,0.595,0.8575,0.87,0.454167,-0.133333
0,0,0,0,0.825,0.6475,0.855,0.8674999999999999,0.454167,-0.154167
0,0,0.4,0,0.8475,0.65,0.785,0.8775,0.454167,-0.166667
0,0.09999999999999998,0,0.2666666666666667,0.8674999999999999,0.8625,0.7925,0.8625,0.454167,0
0,0.19999999999999996,0,0.3666666666666667,0.885,0.7025,0.8175,0.8875,0.454167,-0.2625
0,0.23333333333333328,0,0,0.88,0.7,0.8175,0.895,0.458333,-0.2625
0,0.33333333333333337,0,0,0.7224999999999999,0.6975,0.8200000000000001,0.9,0.4625,-0.2625
0.33333333333333337,0,0,0,0.785,0.7725,0.8200000000000001,0.78,0.470833,0
0,0,0,0.3666666666666667,0.79,0.7625,0.8225,0.9275,0.470833,0
0,0,0,0.30000000000000004,0.83,0.64,0.8075,0.8975,0.475,0
0,0,0,0.33333333333333337,0.835,0.65,0.81,0.8925,0.4875,0
0,0,0,0.2666666666666667,0.7175,0.585,0.6950000000000001,0.8925,0.516667,0
0,0,0,0.19999999999999996,0.63,0.595,0.7925,0.8925,0.533333,0
0,0,0,0.5666666666666667,0.76,0.6,0.5325,0.89,0.545833,0
0,0,0,0,0.8725,0.6074999999999999,0.6125,0.89,0.554167,0
0,0,0,0,0.875,0.5175000000000001,0.7825,0.8875,0.566667,0
0,0,0,0,0.6950000000000001,0.6174999999999999,0.6425000000000001,0.885,0.579167,0
0,0,0,0,0.7175,0.7125,0.6775,0.8825000000000001,0.5875,0
0,0,0,0,0.675,0.675,0.575,0.8725,0.591667,0
0,0,0,0,0.745,0.34750000000000003,0.72,0.8674999999999999,0.591667,0
0,0,0,0,0.735,0.575,0.5900000000000001,0.8475,0.595833,0
0,0,0,0,0.5825,0.5825,0.5875,0.8975,0.616667,0
0,0,0,0,0.48750000000000004,0.5900000000000001,0.595,0.91,0.616667,-0.0083334
0,0,0,0,0.48750000000000004,0.61,0.7150000000000001,0.9125,0.616667,0.0875
0,0,0,0,0.925,0.925,0.925,0.9175,0.616667,0.125
0,0,0,0.23333333333333328,0.8925,0.8925,0.8925,0.815,0.620833,0
0,0,0,0.033333333333333326,0.8925,0.8925,0.8925,0.8175,0.620833,0.429167
0,0,0,0,0.63,0.63,0.63,0.8049999999999999,0.620833,0.475
0,0,0,0,0.5925,0.5925,0.5925,0,0.620833,0.5
0,0,0,0,0.5700000000000001,0.5700000000000001,0.5700000000000001,0,0.620833,0.5375
0,0,0,0,0.5375,0.5375,0.5375,0.8075,0.620833,0.6125
0,0,0,0,0.47250000000000003,0.47250000000000003,0.47250000000000003,0,0.620833,0.6375
0,0,0,0,0.4525,0.4525,0.4525,0,0.620833,0.691667
0,0,0,0,0.405,0.405,0.405,0,0.620833,0
0,0,0,0,0.6275,0.6174999999999999,0.8625,0.7925,0.620833,0
0,0,0,0,0.73,0.75,0.8575,0.78,0.629167,0
0,0,0,0,0.755,0.7625,0.8525,0.6525000000000001,0.6375,-0.208333
0.43333333333333335,0,0,0,0.6425000000000001,0.635,0.8425,0.6625,0.6375,0
0,0,0,0,0.6125,0.6074999999999999,0.84,0.6699999999999999,0.641667,0
0,0,0,0,0.64,0.625,0.8325,0.6975,0.641667,-0.225
0,0,0,0,0.6925,0.8049999999999999,0.8375,0.7125,0.641667,0
0,0,0,0,0.7175,0.655,0.8525,0.69,0.645833,0
0,0,0,0,0.7775,0.725,0.8525,0.8325,0.645833,0
0,0,0,0,0.7475,0.725,0.8525,0.785,0.645833,0.0625
0,0,0,0,0.9475,0.9475,0.9475,0.6699999999999999,0.645833,-0.125
0,0,0,0,0.9475,0.9475,0.9475,0.7875,0.645833,-0.208333
